Adrien Durand-Petiteville,UFPE,33/10008
Alejandro Rafael Garcia Ramirez,UNIVALE,162/7522
Alisson Vasconcelos de Brito,UFPB,35/5746
Ana Cristina Vendramin,UTFPR,96/9459
Andre Schneider de Oliveira,UTFPR,160/1451
Bernardo Pereira Nunes,PUC-Rio,08/10894
Bianchi Meiguins,UFPA,30/3961
Carlos Raimundo Erig Lima,UTFPR,39/4880
Claudio Geyer,UFRGS,b/ClaudioFernandoResinGeyer
Dante Augusto Couto Barone,UFRGS,25/6710
Douglas Guimaraes Macharet,UFMG,23/7609
Edna Natividade da silva barros,UFPE,48/6034
Edson Emilio Scalabrin,PUCPR,06/5416
Edson Prestes e Silva,UFRGS,38/4107
Eduardo José Lima II,UFMG,31/9807
Eduardo Todt,UFPR,91/2657
Eliane Martins,UNICAMP,35/5134
Emerson Paraiso,PUCPR,33/4345
Felipe Gomes de Oliveira,UFAM,211/8209
Guilherme Sousa Bastos,UNIFEI,166/2034
Gustavo Pessin,ITV,59/7537
Hansenclever Bassani,UPE - POLI,93/6335
Hector Azpurua,UFMG,156/6854
Joao Alberto Fabro,UTFPR,02/6407
Joaquim Celestino Junior,UECE,97/7714
Joaquim Miguel Maia,UTFPR,188/3049
Joel Sotero da Cunha Neto,Unifor,317/4844
Joao Olegario de Oliveira de Souza,Unisinos,227/1934
João Paulo Cerquinho Cajueiro,UFPE,254/8534
Kalinka Castelo Branco,ICMC/USP,05/5676
Kelen Vivaldini,UFSCar,48/9968
Lina Garces,UNIFEI,165/9276
Luiz Carlos de Abreu Rodrigues,UTFPR,03/2348
Luiz Chaimowicz,UFMG,c/LuizChaimowicz
Luiz Marcos Goncalves,UFRN,90/6529
Marcio Delamaro,ICMC/USP,84/3153
Marco Antonio Simoes Teixeira,PUCPR,210/3781
Marco Aurelio Wehrmeister,UTFPR,60/2173
Maria Lucia Bento Villela,UFV,135/0836
Mariana Kolberg,UFRGS,99/6576
Mario Fernando Montenegro Campos,UFMG,70/4227
Paulo Lilles Jorge Drews Junior,FURG,76/7747
Paulo Roberto Ferreira Junior,UFPEL,222/3501
Rafael Kunst,Unisinos,92/10324
Raimundo Macedo,UFBA,m/RJdAMacedo
Renan Maffei,UFRGS,139/3519
Renato Assuncao,UFMG,130/0513
Renato Ishii,UFMS,70/4356
Rita Suzana Pitangueira Maciel,UFBA,11/2049
Roberto Inoue,UFSCar,28/8719
Rodolfo Stoffel Antunes,Unisinos,10/3873
Roseli Francelin Romero,ICMC/USP,46/3833
Rubem Sprenger Dreger,Unisinos,204/1592
Silvia Costa Botelho,FURG,43/4171
Tiago Pereira do Nascimento,UFPB,02/11271
Vinicius Menezes de Oliveira,FURG,08/2829