Adrien Durand-Petiteville,UFPE,Mecatronica
Alejandro Rafael Garcia Ramirez,UNIVALE,Mecatronica
Alisson Vasconcelos de Brito,UFPB,ROBOTICS
Ana Cristina Vendramin,UTFPR,ROBOTICS
Ana Paula Carvalho da Silva,UTFPR,ROBOTICS
Andre Schneider de Oliveira,UTFPR,ROBOTICS
Bernardo Pereira Nunes,PUC-Rio,CS
Bianchi Meiguins,UFPA,CS
Caio Marcelo de Miranda,UTFPR,ROBOTICS
Carlos Raimundo Erig Lima,UTFPR,ROBOTICS
Claudio Geyer,UFRGS,CS
Dante Augusto Couto Barone,UFRGS,CS
Djamel Fawzi Hadj Sadok,UFPE,CONTROL
Douglas Guimaraes Macharet,UFMG,ROBOTICS
Edna Natividade da silva barros,UFPE,ROBOTICS
Edson Emilio Scalabrin,PUCPR,CS
Edson Prestes e Silva,UFRGS,ROBOTICS
Eduardo José Lima II,UFMG,ROBOTICS
Eduardo Todt,UFPR,ROBOTICS
Eliane Martins,UNICAMP,CS
Emerson Paraiso,PUCPR,CS
Ermes Ferreira Costa Neto,UPE - POLI,CS
Felipe Gomes de Oliveira,UFAM,ROBOTICS
Francisco Arnaldo de Oliveira Rufino,UPE - POLI,CS
Guaraci Guimarães Bastos Junior,UFPE,CONTROL
Guilherme Sousa Bastos,UNIFEI,ROBOTICS
Gustavo Pessin,ITV,ROBOTICS
Hansenclever Bassani,UPE - POLI,ROBOTICS
Hector Azpurua,UFMG,ROBOTICS
Joao Fabro,UTFPR,CONTROL
Joaquim Celestino,UECE,CS
Joaquim Celestino,UECE,CS
Joaquim Miguel Maia,UTFPR,CS
Joel Gonçalves Pereira,UTFPR,Mecatronica
João Olegário de Oliveira de Souza,Unisinos,Mecatronica
João Paulo Cerquinho Cajueiro,UFPE,ROBOTICS
Juan Carlos Horta Gutiérrez,UFMG,Mecatronica
Judith Kelner,UFPE,CONTROL
Julio Cesar Frantz,UNIVALE,ROBOTICS
Kalinka Castelo Branco,ICMC/USP,ROBOTICS
Kelen Vivaldini,UFSCar,ROBOTICS
Lina Garces,UNIFEI,CS
Luiz Carlos de Abreu Rodrigues,UTFPR,CONTROL
Luiz Chaimowicz,UFMG,ROBOTICS
Luiz Marcos Goncalves,UFRN,ROBOTICS
Marcio Delamaro,ICMC/USP,CS
Marco Antonio Simoes Teixeira,PUCPR,ROBOTICS
Marco Aurelio Wehrmeister,UTFPR,ROBOTICS
Maria Lucia Bento Villela,UFV,CS
Mariana Kolberg,UFRGS,ROBOTICS
Mario Fernando Montenegro Campos,UFMG,ROBOTICS
Paulo Lilles Jorge Drews Junior,FURG,ROBOTICS
Paulo Roberto Brero de Campos,UTFPR,Mecatronica
Paulo Roberto Ferreira Junior,UFPEL,ROBOTICS
Pedro Ivo da Silva Oliveira,UNIT,ROBOTICS
Rafael Kunst,Unisinos,CS
Raimundo Macedo,UFBA,CS
Reginaldo Pereira Leal,UPE - POLI,Mecatronica
Renan Maffei,UFRGS,ROBOTICS
Renato Assuncao,UFMG,ROBOTICS
Renato Ishii,UFMS,CS
Rita Suzana Pitangueira Maciel,UFBA,CS
Roberto Inoue,UFSCar,ROBOTICS
Rodolfo Stoffel Antunes,Unisinos,ROBOTICS
Roseli Francelin Romero,ICMC/USP,ROBOTICS
Rubem Sprenger Dreger,Unisinos,CONTROL
Samuel Lessinger,Unisinos,CONTROL
Silvia Costa Botelho,FURG,ROBOTICS
Tiago Pereira do Nascimento,UFPB,ROBOTICS
Ubirajara Zoccoli,UTFPR,CONTROL
Valmir de Oliveira,UTFPR,CONTROL
Vinicius Costa de Souza,Unisinos,Mecatronica
Vinicius Menezes de Oliveira,FURG,ROBOTICS